county_cas_data,county,state,FIPS,GISJOIN
Upshur,Upshur,West Virginia,54097,G5400970
Swain,Swain,North Carolina,37173,G3701730
Saginaw,Saginaw,Michigan,26145,G2601450
Lucas,Lucas,Ohio,39095,G3900950
St Clair,St. Clair,Alabama,01115,G0101150
Brunswick,Brunswick,Virginia,51025,G5100250
Custer,Custer,Montana,30017,G3000170
Clay,Clay,Indiana,18021,G1800210
Carter,Carter,Oklahoma,40019,G4000190
Mora,Mora,New Mexico,35033,G3500330
Taos,Taos,New Mexico,35055,G3500550
Klamath,Klamath,Oregon,41035,G4100350
Las Animas,Las Animas,Colorado,08071,G0800710
Pueblo,Pueblo,Colorado,08101,G0801010
Hamilton,Hamilton,Tennessee,47065,G4700650
Tazewell,Tazewell,Illinois,17179,G1701790
Somerset,Somerset,New Jersey,34035,G3400350
Cayuga,Cayuga,New York,36011,G3600110
Denver,Denver,Colorado,08031,G0800310
Sacramento,Sacramento,California,06067,G0600670
Beltrami,Beltrami,Minnesota,27007,G2700070
Miami,Miami,Ohio,39109,G3901090
Burleigh,Burleigh,North Dakota,38015,G3800150
Ellis,Ellis,Kansas,20051,G2000510
Clay,Clay,Texas,48077,G4800770
Gila,Gila,Arizona,04007,G0400070
Randolph,Randolph,West Virginia,54083,G5400830
Mcclain,Mcclain,Oklahoma,40087,G4000870
Scioto,Scioto,Ohio,39145,G3901450
Marshall,Marshall,Illinois,17123,G1701230
Delta,Delta,Colorado,08029,G0800290
Gray,Gray,Texas,48179,G4801790
Chickasaw,Chickasaw,Mississippi,28017,G2800170
Gaston,Gaston,North Carolina,37071,G3700710
Rockbridge,Rockbridge,Virginia,51163,G5101630
Franklin,Franklin,Ohio,39049,G3900490
Prentiss,Prentiss,Mississippi,28117,G2801170
Osceola,Osceola,Michigan,26133,G2601330
Oakland,Oakland,Michigan,26125,G2601250
Wolfe,Wolfe,Kentucky,21237,G2102370
Campbell,Campbell,Tennessee,47013,G4700130
Talladega,Talladega,Alabama,01121,G0101210
Allen,Allen,Louisiana,22003,G2200030
Orange,Orange,Florida,12095,G1200950
Logan,Logan,West Virginia,54045,G5400450
Jerome,Jerome,Idaho,16053,G1600530
Washoe,Washoe,Nevada,32031,G3200310
Humphreys,Humphreys,Tennessee,47085,G4700850
Walla Walla,Walla Walla,Washington,53071,G5300710
Appling,Appling,Georgia,13001,G1300010
Orange,Orange,Virginia,51137,G5101370
Sheboygan,Sheboygan,Wisconsin,55117,G5501170
Webb,Webb,Texas,48479,G4804790
Ellis,Ellis,Texas,48139,G4801390
Russell,Russell,Alabama,01113,G0101130
Washington,Washington,Idaho,16087,G1600870
Riverside,Riverside,California,06065,G0600650
Hopkins,Hopkins,Texas,48223,G4802230
Custer,Custer,Nebraska,31041,G3100410
Kanawha,Kanawha,West Virginia,54039,G5400390
Kitsap,Kitsap,Washington,53035,G5300350
Poweshiek,Poweshiek,Iowa,19157,G1901570
Scott,Scott,Virginia,51169,G5101690
Atchison,Atchison,Missouri,29005,G2900050
Iroquois,Iroquois,Illinois,17075,G1700750
Otter Tail,Otter Tail,Minnesota,27111,G2701110
Webster,Webster,Kentucky,21233,G2102330
St Louis,St. Louis,Missouri,29189,G2901890
Camden,Camden,New Jersey,34007,G3400070
Adair,Adair,Oklahoma,40001,G4000010
